well,species,season,alive,n_genotypes,s,MIC,mutations,n_species,u,rep,gens,mutant_function
6,0,1,False,0,,,,2,0.001,0,20,null
6,1,1,False,0,,,,2,0.001,0,20,null
7,0,1,False,0,,,,2,0.001,0,20,null
7,1,1,False,0,,,,2,0.001,0,20,null
8,0,1,False,0,,,,2,0.001,0,20,null
8,1,1,False,0,,,,2,0.001,0,20,null
9,0,1,False,0,,,,2,0.001,0,20,null
9,1,1,False,0,,,,2,0.001,0,20,null
10,0,1,False,0,,,,2,0.001,0,20,null
10,1,1,False,0,,,,2,0.001,0,20,null
11,0,1,False,0,,,,2,0.001,0,20,null
11,1,1,False,0,,,,2,0.001,0,20,null
12,0,1,False,0,,,,2,0.001,0,20,null
12,1,1,False,0,,,,2,0.001,0,20,null
13,0,1,False,0,,,,2,0.001,0,20,null
13,1,1,False,0,,,,2,0.001,0,20,null
14,0,1,False,0,,,,2,0.001,0,20,null
14,1,1,False,0,,,,2,0.001,0,20,null
0,0,2,True,17,1.0716128540074235,0.133945056478421,0.6230000000000001,2,0.001,0,20,null
0,1,2,True,8,1.0623988224450873,0.021495629204002942,0.47200000000000003,2,0.001,0,20,null
1,0,2,False,0,,,,2,0.001,0,20,null
1,1,2,False,0,,,,2,0.001,0,20,null
2,0,2,False,0,,,,2,0.001,0,20,null
2,1,2,False,0,,,,2,0.001,0,20,null
3,0,2,False,0,,,,2,0.001,0,20,null
3,1,2,False,0,,,,2,0.001,0,20,null
4,0,2,False,0,,,,2,0.001,0,20,null
4,1,2,False,0,,,,2,0.001,0,20,null
5,0,2,False,0,,,,2,0.001,0,20,null
5,1,2,False,0,,,,2,0.001,0,20,null
6,0,2,False,0,,,,2,0.001,0,20,null
6,1,2,False,0,,,,2,0.001,0,20,null
7,0,2,False,0,,,,2,0.001,0,20,null
7,1,2,False,0,,,,2,0.001,0,20,null
8,0,2,False,0,,,,2,0.001,0,20,null
8,1,2,False,0,,,,2,0.001,0,20,null
9,0,2,False,0,,,,2,0.001,0,20,null
9,1,2,False,0,,,,2,0.001,0,20,null
10,0,2,False,0,,,,2,0.001,0,20,null
10,1,2,False,0,,,,2,0.001,0,20,null
11,0,2,False,0,,,,2,0.001,0,20,null
11,1,2,False,0,,,,2,0.001,0,20,null
12,0,2,False,0,,,,2,0.001,0,20,null
12,1,2,False,0,,,,2,0.001,0,20,null
13,0,2,False,0,,,,2,0.001,0,20,null
13,1,2,False,0,,,,2,0.001,0,20,null
14,0,2,False,0,,,,2,0.001,0,20,null
14,1,2,False,0,,,,2,0.001,0,20,null
0,0,3,True,10,1.1311328068849504,0.2271025166052338,1.069,2,0.001,0,20,null
0,1,3,True,7,1.1311441757116234,0.0008763653267676273,0.92,2,0.001,0,20,null
1,0,3,False,0,,,,2,0.001,0,20,null
1,1,3,False,0,,,,2,0.001,0,20,null
2,0,3,False,0,,,,2,0.001,0,20,null
2,1,3,False,0,,,,2,0.001,0,20,null
3,0,3,False,0,,,,2,0.001,0,20,null
3,1,3,False,0,,,,2,0.001,0,20,null
4,0,3,False,0,,,,2,0.001,0,20,null
4,1,3,False,0,,,,2,0.001,0,20,null
5,0,3,False,0,,,,2,0.001,0,20,null
5,1,3,False,0,,,,2,0.001,0,20,null
6,0,3,False,0,,,,2,0.001,0,20,null
6,1,3,False,0,,,,2,0.001,0,20,null
7,0,3,False,0,,,,2,0.001,0,20,null
7,1,3,False,0,,,,2,0.001,0,20,null
8,0,3,False,0,,,,2,0.001,0,20,null
8,1,3,False,0,,,,2,0.001,0,20,null
9,0,3,False,0,,,,2,0.001,0,20,null
9,1,3,False,0,,,,2,0.001,0,20,null
10,0,3,False,0,,,,2,0.001,0,20,null
10,1,3,False,0,,,,2,0.001,0,20,null
11,0,3,False,0,,,,2,0.001,0,20,null
11,1,3,False,0,,,,2,0.001,0,20,null
12,0,3,False,0,,,,2,0.001,0,20,null
12,1,3,False,0,,,,2,0.001,0,20,null
13,0,3,False,0,,,,2,0.001,0,20,null
13,1,3,False,0,,,,2,0.001,0,20,null
