seed,culture,met,rep,frac_slope
154,Monoculture,36,7,0.11563355925682677
154,Monoculture,36,8,0.13269923057562083
154,Monoculture,36,9,0.11808347471870453
154,Coculture,36,0,0.11644100918089109
154,Monoculture,37,0,0.11308674100250228
154,Monoculture,37,1,0.10909708682056672
154,Monoculture,37,2,0.11867791304412553
154,Monoculture,37,3,0.11341629994194381
154,Monoculture,37,4,0.106493085494095
154,Monoculture,37,5,0.11360668518485029
154,Monoculture,37,6,0.11375241244569939
154,Monoculture,37,7,0.11219749959822595
154,Monoculture,37,8,0.07410469383358242
154,Monoculture,37,9,0.11496978098880777
154,Coculture,37,0,0.11644100918089109
154,Monoculture,38,0,0.1170377430309344
154,Monoculture,38,1,0.1187381110659228
154,Monoculture,38,2,0.1209677587003769
154,Monoculture,38,3,0.11483691280507888
154,Monoculture,38,4,0.11408640007903931
154,Monoculture,38,5,0.12664147286252045
154,Monoculture,38,6,0.077032462175573
154,Monoculture,38,7,0.1110531642788993
154,Monoculture,38,8,0.11369241283283131
154,Monoculture,38,9,0.10864665618432588
154,Coculture,38,0,0.11644100918089109
154,Monoculture,39,0,0.12827405738215975
154,Monoculture,39,1,0.14549209314398678
154,Monoculture,39,2,0.11507550585537266
154,Monoculture,39,3,0.10623173782377503
154,Monoculture,39,4,0.10995097139066731
154,Monoculture,39,5,0.11361186924801239
154,Monoculture,39,6,0.11769214384226569
154,Monoculture,39,7,0.08060081728375601
154,Monoculture,39,8,0.12812940501803216
154,Monoculture,39,9,0.1377545138435629
154,Coculture,39,0,0.11644100918089109
154,Monoculture,40,0,0.12078595320220734
154,Monoculture,40,1,0.11297562033052937
154,Monoculture,40,2,0.11804284233850894
154,Monoculture,40,3,0.11768348538877536
154,Monoculture,40,4,0.0997730336600623
154,Monoculture,40,5,0.12281220720056107
154,Monoculture,40,6,0.11808909220256054
154,Monoculture,40,7,0.11805694179462675
154,Monoculture,40,8,0.06523858357910256
154,Monoculture,40,9,0.03800778447922212
154,Coculture,40,0,0.11644100918089109
154,Monoculture,41,0,0.10927388818080584
154,Monoculture,41,1,0.10801760003753406
154,Monoculture,41,2,0.11973985512479769
154,Monoculture,41,3,0.11783213849609854
154,Monoculture,41,4,0.09930915024454502
154,Monoculture,41,5,0.09972534411230365
154,Monoculture,41,6,0.11169692187889929
154,Monoculture,41,7,0.11925218143884887
154,Monoculture,41,8,0.11600970881023194
154,Monoculture,41,9,0.13133281319788634
154,Coculture,41,0,0.11644100918089109
154,Monoculture,42,0,0.11056284177380729
154,Monoculture,42,1,0.08593064538519946
154,Monoculture,42,2,0.10493371571042534
154,Monoculture,42,3,0.10654719061199124
154,Monoculture,42,4,0.12050618702388806
154,Monoculture,42,5,0.12144292588460144
154,Monoculture,42,6,0.11998375387928474
154,Monoculture,42,7,0.10717209471115702
154,Monoculture,42,8,0.1259341199426479
154,Monoculture,42,9,0.11974730767326024
154,Coculture,42,0,0.11644100918089109
154,Monoculture,43,0,0.11335086083054478
154,Monoculture,43,1,0.11648087587306248
154,Monoculture,43,2,0.11653722948628943
154,Monoculture,43,3,0.11121602357342145
154,Monoculture,43,4,0.11196049025126463
154,Monoculture,43,5,0.14434846656283962
154,Monoculture,43,6,0.12030714988259245
